,LF-delta,LF-theta,LF-alpha,LF-beta,LF-gamma,LF-broadband,LC-delta,LC-theta,LC-alpha,LC-beta,LC-gamma,LC-broadband,LP-delta,LP-theta,LP-alpha,LP-beta,LP-gamma,LP-broadband,LO-delta,LO-theta,LO-alpha,LO-beta,LO-gamma,LO-broadband,RF-delta,RF-theta,RF-alpha,RF-beta,RF-gamma,RF-broadband,RC-delta,RC-theta,RC-alpha,RC-beta,RC-gamma,RC-broadband,RP-delta,RP-theta,RP-alpha,RP-beta,RP-gamma,RP-broadband,RO-delta,RO-theta,RO-alpha,RO-beta,RO-gamma,RO-broadband,FZ-delta,FZ-theta,FZ-alpha,FZ-beta,FZ-gamma,FZ-broadband,CZ-delta,CZ-theta,CZ-alpha,CZ-beta,CZ-gamma,CZ-broadband,PZ-delta,PZ-theta,PZ-alpha,PZ-beta,PZ-gamma,PZ-broadband,OZ-delta,OZ-theta,OZ-alpha,OZ-beta,OZ-gamma,OZ-broadband,all-delta,all-theta,all-alpha,all-beta,all-gamma,all-broadband
26-induction1,-80.5488340611998,-79.71887619719328,-80.84823117882235,-86.61541152395371,-91.44261740846328,-85.94918368161652,-81.53999841646282,-80.12631688969446,-80.71841438952056,-87.23250951310928,-93.7465205105048,-86.92973237809318,-82.74918330041986,-81.05001067602421,-81.38895484236741,-88.06957658277616,-96.324755150472,-88.23131313174841,-79.63120552880429,-77.22707453035974,-77.42886843194336,-84.54637734669355,-94.3716909659096,-85.06750739660023,-80.94112423513067,-80.12191937101204,-81.23144598324606,-87.06195549501952,-91.86348854584624,-86.3732010681592,-82.16965572231562,-80.96131628572581,-81.54822386346478,-88.05570507614887,-94.83043205934692,-87.80059488625434,-81.9567057301312,-79.95995839148446,-80.25556736266736,-87.30931100134713,-95.87680637286932,-87.47561469225182,-80.33996557997307,-77.34745664177896,-77.46434805686958,-85.42761491259836,-95.12250749811878,-85.73823061306112,-79.44776008543641,-78.84434615419516,-80.3078064258957,-87.34921593296505,-93.46866319081248,-86.53430423409011,-79.87341197339109,-78.45027360001983,-79.0043543925828,-86.23525784178088,-94.6628934418779,-86.20439338587025,-80.01887912960012,-78.0339216981921,-78.38282233379249,-85.79112013048712,-95.00031295995296,-85.9996446148659,-83.61857152256206,-81.13013231431258,-81.37977671779812,-88.36078707415669,-96.53273803241444,-88.5083867469414,-81.3942260225046,-79.91061733869817,-80.53499373916029,-87.15025385847451,-94.27934111388684,-86.97143322482154
26-induction2,-81.18337434046555,-80.40871758662816,-81.59618315238083,-87.34354698067136,-92.56262167433012,-86.7640790678321,-81.99114170889132,-80.77190711835999,-81.4691419194488,-87.78625990551872,-94.6114423607207,-87.5798966223336,-83.0903195871126,-81.55404547803943,-81.96928578128323,-88.56683470134868,-97.50646453689257,-88.89305683447357,-79.96589520914067,-77.62084980333965,-77.86408572407177,-84.82292471020793,-94.8657593275544,-85.43183902513736,-81.66183213906925,-80.89773169624631,-82.03849506188152,-87.69949937034242,-92.77236983020065,-87.11767306392395,-82.64476737726574,-81.59554904753165,-82.31722486688926,-88.69728233568677,-95.85922076980611,-88.53433637267923,-82.31869446929909,-80.4210486510153,-80.79238756901668,-87.80145699349767,-96.9240758024703,-88.09488766662463,-80.616791712621,-77.71383702883641,-77.83284880643568,-85.78767738916525,-95.87251606392674,-86.18893159589535,-80.29303845842122,-79.69198990893989,-81.16670523032803,-88.00491489710423,-94.54759437533616,-87.35428365729985,-80.52703206769012,-79.33811022482524,-79.97552227330964,-86.96745932823193,-95.60096653851308,-87.01966478891515,-80.57216738506614,-78.85056985906945,-79.18783733642118,-86.34098567572738,-95.88976912629064,-86.68694329370565,-83.86410759461108,-81.45246206795423,-81.73037137667097,-88.69747482317426,-97.57103214303888,-89.01131581011177,-81.88660471144638,-80.52382725811646,-81.21663497844428,-87.71891077464838,-95.27827431141672,-87.65578512124667
26-induction3,-82.79797272666522,-83.20021315491218,-85.10389210134713,-87.47495923007189,-90.41536628915664,-87.07778102411397,-83.75629247822144,-83.95155394978781,-85.35419245512401,-88.47822394350486,-92.6787103299868,-88.29108224538722,-84.93304562010654,-84.66903297817356,-85.60936582708962,-90.54966081209444,-97.87766204313984,-90.7379073187644,-83.2620592149413,-82.57807959432373,-83.14137924751324,-88.4145873386504,-96.58676951493368,-88.83140848680395,-82.74223682399105,-83.2258837602977,-85.38678310586968,-87.20694133998397,-89.86981347611253,-86.84606734103677,-84.00516814048314,-84.19850971490786,-85.61986673436971,-89.10300666429367,-93.75126710948211,-88.91652423527877,-84.587391033525,-84.1812301275992,-85.135173769911,-90.4212686399367,-97.99113270795412,-90.57773355806356,-82.94094065699778,-82.35069535170717,-83.1575131783857,-89.0234137483102,-97.43428268818693,-89.26402177749539,-81.84346222398166,-82.36674843786875,-84.63656368710863,-88.62614616731665,-92.60678753762063,-87.91814009459355,-82.12447491281199,-82.25829926853524,-83.62933703144824,-88.67965346733708,-95.70407683192742,-88.6330743895631,-82.70157500555027,-82.24124359878073,-83.06841688033765,-88.59676651852281,-96.76924433579607,-88.86197956575114,-86.18586086069368,-85.91760700774309,-86.88881092996449,-92.25101175951586,-99.4626008434717,-92.2778333824902,-83.66738703340764,-83.68535704669009,-85.06482523878222,-89.01579767734742,-94.51766394974727,-88.92828187413116
26-induction4,-79.93729333121055,-78.90192803925669,-79.78460452961963,-85.15189808833355,-89.93337282626541,-84.66407993632515,-80.41769289736408,-78.96960111684159,-79.49289627442315,-85.97101845583305,-92.3518325874507,-85.66293548085042,-81.53974556490891,-79.85186393401877,-80.23060511008312,-87.89579566096543,-98.09555757654498,-88.23921890247178,-78.31552216013773,-75.95645528225832,-76.21083286957816,-83.90636546221847,-95.2494128135268,-84.61849869257743,-80.33363106652754,-79.41320252675567,-80.34946719213592,-85.70589034505183,-90.56444100692605,-85.21839098554673,-81.22460813744155,-80.15118576452946,-80.74301306240184,-87.49398115087064,-94.69944825456734,-87.25903427797093,-80.5788879291309,-78.64566637029593,-79.019918965506,-87.01640924931371,-97.56958959725456,-87.3742288879981,-78.9816852146418,-76.06844786738318,-76.23857709545564,-84.9744795898969,-96.32211218459418,-85.44791487935021,-79.16047041263047,-78.26418696727205,-79.37782779072813,-86.51264341706032,-92.89931680343211,-85.83576725559823,-78.91746621457682,-77.58223237087033,-78.11560679020624,-86.08082011855267,-95.85935010986104,-86.16273711837928,-79.10400031795098,-77.25960964751064,-77.59875267791548,-85.57433636210807,-96.34899883028092,-85.99193733485657,-82.48628873334678,-80.14732430886394,-80.42245371016503,-88.21930292707748,-98.65688472308734,-88.66851417319427,-80.4022314886167,-78.91063020069896,-79.48285948007762,-86.4287719863569,-94.47794552209842,-86.39200589132454
26-experience1,-81.1036173415041,-80.1829214390481,-81.41382648502791,-87.81654899647418,-93.78907726355364,-87.23475289085981,-82.05452270145068,-80.61262565481121,-81.311244035827,-87.99380645042102,-95.30921404504848,-87.82235565316046,-83.20994870960081,-81.42780467777905,-81.8355578772972,-88.6271853839269,-97.69573194939102,-88.95349753658256,-80.46620247587524,-77.78650381751874,-77.96077662282576,-85.04606539491712,-95.3797382318719,-85.73701227730265,-81.35046950204185,-80.51429228126385,-81.7390870848615,-87.8849720430206,-93.44910595645187,-87.27089879528899,-82.526422678974,-81.34281276974241,-82.01593744549113,-88.56741272103456,-95.9150132508122,-88.42260632658935,-82.57624092602933,-80.55083166542369,-80.87457184556456,-87.89090035712802,-97.35931029512598,-88.29089717819086,-81.29769782936046,-78.18738279180918,-78.31980775639099,-86.01121775534638,-96.4298816524836,-86.59300724078284,-80.0231357782454,-79.32409214976838,-80.8283973574544,-88.20981710918655,-95.5827376259334,-87.60766463416414,-80.39464632082915,-79.02316513506992,-79.67364196400942,-86.91615259302233,-95.86937032996232,-86.98875659134148,-80.9609617392773,-78.89487691177452,-79.21405100979835,-86.42207704681387,-96.2561102227864,-86.86095119284786,-84.53776511008309,-81.81294850274071,-82.04981510153608,-88.99632475580066,-98.15162869397402,-89.4263061850398,-81.94606558482246,-80.40606380968138,-81.09831200096826,-87.8624947280153,-95.81450082125976,-87.83679197246904
26-experience2,-81.12411202428984,-80.2875213889872,-81.46007046662461,-87.86872358187226,-93.9451881725826,-87.31439304297832,-81.82905819056259,-80.61279926629803,-81.33183694225956,-88.16860262721598,-95.5865034097126,-87.94986647458737,-83.14011571455981,-81.45254102488389,-81.87382819837092,-88.87404409779833,-98.61224382349154,-89.29302929366358,-80.33422781872787,-77.85271405727127,-78.06961130529642,-85.21715459061292,-95.92138492815543,-85.95372111594423,-81.30242385391222,-80.60623281059311,-81.85308215944971,-88.00405886067651,-93.766282663272,-87.41957103551795,-82.32047995518008,-81.37076180769986,-82.18628376124772,-89.02020773151284,-96.89642513244472,-88.87095231470474,-82.35482838995078,-80.42021821844578,-80.79631933857927,-88.1128692623459,-98.11598864515835,-88.53692492404284,-80.9350090915184,-78.00980680699533,-78.1932264913729,-86.15974534523531,-96.992593966047,-86.73383813585629,-80.18441929104551,-79.53759488613716,-80.97381567400343,-88.53934315779468,-96.26134701220788,-87.97762415917818,-80.2229586472512,-79.02948129419879,-79.7228895503375,-87.06114355833758,-96.22704154077375,-87.1318079356241,-80.6975385497573,-78.72378591172108,-79.07023569987025,-86.55187723228067,-96.79810119210028,-86.99702606868622,-84.19772163310668,-81.77472212477318,-82.08879771486072,-89.17220166658917,-98.51990043404324,-89.56359000575,-81.80802890409305,-80.41628439686929,-81.14059501736284,-88.06942083030658,-96.38045125508322,-88.06284301924128
26-experience3,-79.9525576545758,-79.07372601937797,-80.28042709424514,-85.48400174869698,-90.14575814745132,-84.93491140059638,-80.77677709612232,-79.42230247352398,-80.12905080164526,-86.43963762435635,-92.75597363286032,-86.1196433763046,-81.88463475659518,-80.330162343436,-80.84160206889312,-88.17779976023292,-97.78089266402128,-88.43087297500257,-78.77658508015429,-76.62901422716504,-76.9472090531253,-84.42597910714784,-95.1155131642167,-85.00584972531516,-80.29995748061377,-79.54137336449398,-80.7249973847406,-85.5475023937746,-89.95508485332425,-85.04178011351446,-81.42324344742372,-80.45922058538622,-81.16259699446209,-87.48788291984503,-94.18392846344098,-87.2200355325177,-81.03677627521003,-79.2623856620894,-79.68365597735377,-87.38369161167563,-97.15493478428864,-87.60967671279151,-79.29372796638563,-76.62082116732621,-76.86619841182295,-85.38691833634927,-96.06016023835282,-85.71722806549886,-79.0969738746437,-78.39514931071912,-79.8303545565931,-86.56434855112798,-92.64919846587068,-85.84850423867086,-79.2260323796442,-78.01699921264668,-78.67485325969884,-86.28619850362666,-95.45703500172696,-86.28483656226271,-79.34867563255683,-77.61924496282896,-78.04941531459475,-85.92108711557536,-96.02340850646874,-86.17207491962415,-82.87667485167329,-80.65827193729358,-80.98941305240767,-88.56177697699984,-98.38512815731612,-88.90151766311641,-80.64327379837334,-79.29487187487791,-80.0266183838902,-86.66401199840142,-94.24333973613288,-86.556116739028
26-experience4,-81.53810399683233,-80.79040875139508,-81.86573959951959,-87.48514198508411,-93.09163685787824,-87.06064834253212,-82.1861447392723,-81.04895404923131,-81.71958318101142,-88.05804498569198,-95.03072567386263,-87.87926985897855,-83.29872717506903,-81.67531159616819,-82.14537657668731,-89.14638083893307,-98.73912085149756,-89.51259312518673,-80.57735529458051,-78.35440428885917,-78.63637004879422,-85.64724471798311,-96.17100372840068,-86.34082401841596,-81.70702853927838,-81.17103910824098,-82.33300045289016,-87.65079409027035,-93.0170654749533,-87.21823051940093,-82.7051155193979,-81.92299176383344,-82.66799654964717,-89.1466414945677,-96.78172602050276,-89.041030560969,-82.56591190044156,-80.74329497533029,-81.12147519400645,-88.41551720078972,-98.25546028556212,-88.79391601872373,-80.91609170556055,-78.23938474707347,-78.47040649785873,-86.47741518556242,-97.19210135765866,-86.97545046796702,-80.6682870772197,-80.1541129284245,-81.48667476178505,-88.33787181358396,-95.32990477830764,-87.81542598743262,-80.54824940158599,-79.52823493800429,-80.20212412938034,-87.30351653177517,-96.17344770206611,-87.35780521171242,-80.79197525610671,-79.06877773598055,-79.50452040608195,-86.85023762857018,-96.99270478929655,-87.26731046999765,-84.60426426847039,-82.43974651424305,-82.75800923392106,-89.58275752161579,-98.57980479445531,-89.9373940850044,-82.11071501155084,-80.85371862294261,-81.55020605591929,-88.11792864153456,-96.12644164614004,-88.13614226926684
27-baseline1,-82.52748691771286,-82.10284969213524,-84.32478422116573,-90.68435426082826,-97.35543992291991,-90.04233148120407,-85.18304854290301,-83.9103173548151,-84.83834151310762,-90.60191930458257,-98.5066757038687,-90.7907033541119,-86.23432342481169,-84.23231734258016,-84.85380734216118,-90.92310939968348,-99.44253353974072,-91.30807742574804,-87.1804454664848,-84.05560197927363,-84.43997678748775,-91.13940253858212,-99.72087518024722,-91.5105523607484,-83.5671496461258,-82.99988258533462,-85.01279544012138,-91.13974947920283,-97.70110320449754,-90.59614583392384,-85.98042105341204,-84.94249059657716,-85.97346086857915,-91.46500644238748,-99.07869220743832,-91.61856320279078,-86.3683564529803,-84.53454441791274,-85.34515371344818,-91.2004940967791,-99.08508037791827,-91.43629789646428,-87.73309513351727,-84.56822637245294,-84.97949789101122,-91.41984691749856,-99.68528451953524,-91.78833418245632,-81.68816529437774,-81.31642571166094,-83.71507205488214,-90.39749363425,-97.5921129584212,-89.74886668110989,-84.57633045583702,-83.39693043946153,-84.26899119547892,-89.8920028019798,-98.51017885824292,-90.3031711845294,-85.7618039496636,-83.34031851936129,-83.99861645662237,-90.45791857769969,-99.28644426169583,-90.83774831795354,-90.6403110772089,-87.74894767783698,-88.16960161249737,-94.12361984146544,-101.00331117683012,-94.2623427596213,-85.27170413577274,-83.84778476384867,-85.01342303887924,-91.03911034063724,-98.71690374981742,-91.0601167845912
27-baseline2,-83.42271039393856,-82.40262903192152,-83.5268704385588,-90.43827073273678,-97.69646469804874,-90.0565589906856,-85.04145838616199,-83.65061605754451,-84.22187862247628,-90.65670809545,-98.85216830586428,-90.79995602603684,-85.48640216971455,-83.36357855363929,-83.76661159244807,-90.51223189300612,-99.51254843139743,-90.87030069128232,-84.53325615167711,-81.77683580628539,-82.09825590624135,-88.67489917204036,-96.2488985832612,-88.80676405965386,-84.26751497419122,-83.11368705404544,-84.09567300232541,-90.87064489545114,-98.14385061902615,-90.57544036076575,-85.74789132540161,-84.48290172779639,-85.11162494477205,-91.2587798953012,-99.59812336710269,-91.5002235944582,-86.03497997753097,-83.86477433235231,-84.2982955960572,-90.79507477490476,-99.48066261708466,-91.14775429357236,-86.74439354466361,-83.21463982221218,-83.39786736843257,-90.47617187062576,-99.13859127070518,-90.83461523298872,-82.7221275373588,-81.73125156579793,-82.89139957446491,-90.08267788351108,-97.85224683027164,-89.73474462291007,-84.11121042279109,-82.69774428192416,-83.24497821822334,-89.42836965936814,-98.57998793411151,-89.89315662253742,-85.05412128680413,-82.00392473353821,-82.30064726130821,-89.58884551314218,-99.42929847064678,-90.10817442674076,-89.8357047704863,-86.59530231287192,-86.80444395340396,-93.49578492184943,-101.03019906231724,-93.65419808408778,-85.10416993135362,-83.3563307118657,-83.9878772986012,-90.63026053094462,-98.85726011366324,-90.74277006152296
27-induction1,-82.92346646686863,-82.72553940315221,-84.99379919207196,-90.81445445304854,-97.20321406929165,-90.23158852740404,-85.42283979985558,-84.50807404256138,-85.7110722950276,-91.4187132099193,-99.34276767087653,-91.5383114759273,-86.49789819790905,-85.06770046309713,-85.99754179249234,-91.78060135000172,-100.29325832326788,-92.1308992336676,-86.90666608098574,-84.65877295065056,-85.30587827778349,-91.5147358233658,-99.61700789419012,-91.77301482500413,-83.91783897975488,-83.5677291327223,-85.53801693241829,-91.10389669149464,-97.474973142736,-90.66785530134617,-86.30404951574539,-85.68822731995094,-86.94605356108023,-92.2680828782638,-99.8394385129549,-92.3743299631351,-86.77767805096875,-85.48420866629894,-86.5661826321148,-92.20573441840244,-100.1154013672787,-92.40423776503904,-87.63137869087534,-85.03255199514177,-85.62155978823998,-91.9371474951843,-100.42428550939968,-92.30633679760857,-82.1557699719319,-82.05408338996226,-84.51109891600416,-90.69912248018404,-97.66793992211686,-90.10368532440184,-84.61892090238342,-83.80958116674424,-84.94740917664875,-90.69909300875862,-99.33166513112756,-90.98509926130092,-85.91718691570807,-84.11574279237729,-85.04783904204541,-91.239476025178,-100.20514066796056,-91.61712625333332,-90.60899160953343,-88.11851135124813,-88.65796479720554,-94.6852654441933,-101.99463176521708,-94.84557416698996,-85.53884500214326,-84.53698935713098,-85.89024817890774,-91.63810241596217,-99.25620638403151,-91.64780593700904
27-induction2,-82.66175802732948,-81.81301157949144,-83.2674969988506,-90.19481918643808,-97.27981396879368,-89.6818487866627,-84.58310868044157,-83.22240432655173,-83.87761111109472,-90.12413750214344,-98.26967775066495,-90.29159372543958,-85.3578728690893,-83.21858519364974,-83.59992837426583,-90.1348709980499,-98.98768491166916,-90.52525182074024,-84.2850474084816,-81.67166971656997,-82.01695132404598,-88.475981781431,-95.78637892465512,-88.55815337771749,-83.5947676041278,-82.62419755970386,-83.90379378870202,-90.479191374336,-97.45436095579538,-90.0915022526534,-85.35488019179772,-84.17514758984657,-84.84870305964226,-90.71244122196836,-98.64008343648568,-90.91849249313586,-85.73473989727992,-83.55675327322717,-84.01211538504347,-90.4058733292103,-98.86141599444632,-90.72835785231128,-86.688790931512,-83.17667169056385,-83.34934347476447,-90.35548181269864,-98.90179100000724,-90.70689517540022,-81.92245653538978,-81.10627382734674,-82.6320687170948,-89.80846431367196,-97.41233375722524,-89.33297228844182,-83.71227811965134,-82.29024434610831,-82.83025072445167,-88.95005162998456,-98.01983596798568,-89.41575954451062,-84.83276644524793,-81.91171129211425,-82.2378507801858,-89.29035135661529,-98.73885647572244,-89.76360508116227,-89.8808562760814,-86.58844238756237,-86.75152151766488,-93.2360379104997,-100.33707850462564,-93.36256870401216,-84.69803919031855,-83.01972803308769,-83.75843219984718,-90.2500213821678,-98.254623638362,-90.32378547389136
27-induction3,-82.71283963758566,-81.97350224224122,-83.38063721254264,-90.22508820828632,-97.25619373524788,-89.72203603677777,-84.36846531701804,-83.1829732395033,-83.87214626028256,-90.25065393121682,-98.35298066770096,-90.3433979176532,-84.95992711499713,-83.01480491207057,-83.46257025166591,-90.0324663711569,-99.05482056938966,-90.42204523724138,-84.3085436304445,-81.96222496081779,-82.44238598539675,-88.90830453423911,-96.49623136461736,-89.00411033922782,-83.51659427647134,-82.67781681510527,-83.90927342070135,-90.64366527982436,-97.9311478280087,-90.28280478415094,-85.18717956400413,-84.12305942085004,-84.80766854578695,-90.86458608473356,-99.29402392821,-91.12436047324672,-85.55337763203987,-83.61485708052692,-84.08900812371647,-90.48119664435242,-99.28732766315429,-90.86409468937548,-86.40653428650289,-83.37589634012448,-83.61712285001664,-90.42215079270302,-99.00311405256232,-90.78070171752134,-81.9423282710176,-81.27187367044279,-82.76074703259374,-89.9970114776558,-97.85070110624515,-89.55882533891182,-83.37482577034574,-82.04101382081117,-82.61982312488607,-88.88679244563168,-98.37505091971455,-89.3963856020672,-84.47851695755071,-81.82097109894124,-82.21165655476366,-89.26812092490886,-99.15064909689428,-89.80943115155813,-89.66133622194212,-86.7662814794251,-87.04046769144531,-93.43706824291272,-100.71765478362484,-93.57290294449818,-84.52370040667313,-83.03368236848938,-83.79200387128279,-90.33577034185508,-98.56336037851818,-90.42687541310887
27-induction4,-82.38562698268555,-82.16762794396509,-83.97985658523984,-90.41299535433986,-96.8837334405656,-89.7600924207834,-84.59173377490723,-83.80000463743792,-84.68844386020217,-90.69712128372532,-98.24879276981147,-90.683920997384,-85.03454354205371,-83.38592208190973,-84.02710706163498,-90.48625681649249,-98.87429503416544,-90.68214659452283,-84.12127990366943,-81.96422370863465,-82.48158269187351,-88.73861147392509,-95.99590721123722,-88.78806059649337,-83.15136483282052,-82.79126887723179,-84.4297195994468,-90.78305891118514,-97.470166274356,-90.25715340957224,-85.15015369665787,-84.54211687777183,-85.53440919030118,-91.28119495089422,-98.81482448595628,-91.30291182586454,-85.57410020468777,-83.94266432771828,-84.60364346339401,-90.90302177548168,-99.09597359602216,-91.0923939975523,-86.31400013749399,-83.62779698556982,-83.99364436764387,-90.65711770519664,-98.94732923638084,-90.92607942550448,-81.58826275480922,-81.41376982399993,-83.3302949689904,-90.36914230919872,-97.650185256535,-89.71189310805313,-83.43355250109462,-82.55969961785091,-83.41163624052778,-89.45426816160247,-98.12253839950031,-89.72554410854352,-84.31022156600568,-81.94749959513094,-82.48089607637675,-89.5704510579313,-98.77364496030164,-89.87397593989583,-89.505542044444,-87.0621732668902,-87.47203848241867,-93.5779471484502,-100.5429848281469,-93.64979780321458,-84.44154110190891,-83.34754946864908,-84.3657808183843,-90.66103212983928,-98.27679673322582,-90.58215078062835
27-experience1,-82.46673059326858,-82.03696598797075,-84.22870296875311,-90.08959469060724,-96.2643807845558,-89.47965276191145,-84.87983409298704,-83.95092003228034,-85.24981059788432,-90.70392361972428,-98.12223110985572,-90.75537987865502,-86.09770079317374,-84.76331264243979,-85.8232306223654,-91.18690708092466,-99.0085109707434,-91.45466033489984,-86.37018972545253,-84.10202247799407,-84.79178608269979,-90.65843067885888,-97.96316425003842,-90.81348469661071,-83.19888275368463,-82.70151943862228,-84.71988364320782,-90.36772679131016,-96.31624191527315,-89.80656611845932,-85.48751401951542,-84.79046756410519,-86.12859951450962,-91.2382864264728,-98.04712881734795,-91.20966920606276,-86.39257650991081,-85.06183172908533,-86.18624067169696,-91.44412733079554,-98.6770638930144,-91.58318816318088,-87.38337227370917,-84.67091045479339,-85.20855282445396,-91.28511058257052,-98.85078309412854,-91.51727909098452,-81.73688027051128,-81.35482717781328,-83.64134142680439,-90.191795591633,-96.98366304164446,-89.50552866415886,-84.11721257909088,-83.25139101258164,-84.48911612386989,-90.15154881191192,-98.33700774196323,-90.33822087240542,-85.54869441311531,-83.70312095155589,-84.70384645760106,-90.70896996920048,-99.08009969625272,-90.9846275924306,-90.25080149546628,-87.69677778384022,-88.23344546919267,-93.94768840910768,-100.39207624401672,-93.99258131995256,-85.02159620104672,-83.9461281446095,-85.34014673364786,-90.90865435247858,-97.95985458772262,-90.82964521347644
27-experience2,-84.17070365717598,-82.90943986674263,-83.93350556623983,-90.54487487824748,-98.1720832829774,-90.38957942497156,-85.52051059524413,-83.86923555626228,-84.41215747748937,-90.52962358662032,-99.26400895047058,-90.9345232144964,-86.17691134134711,-84.19758749412513,-84.67848485921164,-90.7723626604636,-99.64890747313385,-91.26508843496046,-84.83099815895565,-82.375099580576,-82.8080722883161,-88.70719916095122,-95.36210257778824,-88.76018226965988,-84.86509620401688,-83.59618662254171,-84.53290208950837,-90.77812761104924,-98.32066764941747,-90.7297428289332,-86.15016273732732,-84.95629423523523,-85.6349414128768,-91.23853873774684,-99.7559622549699,-91.6704728342725,-86.35732362418393,-84.54459951523883,-85.13989258011827,-91.13602333087334,-99.816204102381,-91.56944309644236,-86.87305707700608,-83.5531404054363,-83.78181261790809,-90.60726430973622,-99.07546857706164,-90.96293709368176,-83.42500161858075,-82.26059434445446,-83.34146722169982,-90.15144491563387,-98.2119473214914,-90.02384336088161,-84.3362636372235,-83.02532144034265,-83.68621865509935,-89.5400528262749,-98.79486406661604,-90.09652016174428,-85.48990827690353,-82.9818886425659,-83.50791260323311,-90.1449283283768,-99.39800602322536,-90.61269020584616,-89.8294359967813,-86.58843762697737,-86.84057273759035,-93.2521904106426,-100.2719199080396,-93.35731029793398,-85.58792337365793,-83.88044601581504,-84.54788563929625,-90.7239180452476,-99.03213882905756,-90.98542333050274
27-experience3,-84.2950524380952,-83.74183476489071,-85.4109502053986,-91.54111713661511,-98.21487854960311,-91.09200608971604,-85.67313104043092,-84.73030206552107,-85.79987811244168,-91.55654122884616,-99.38969432085274,-91.66819825503332,-86.55615870884105,-85.15256089679369,-86.03066338928855,-91.60431215795492,-99.30947221570548,-91.8232468244984,-85.27550632920055,-83.67541749368618,-84.47525171212337,-89.23789354160115,-93.88886908258988,-88.971886917869,-84.5553999214606,-84.10558408092217,-85.89954985512067,-91.89839136650652,-98.41550115992872,-91.41420479066046,-86.1146816318651,-85.55628791572542,-86.83755041388952,-92.42016276445004,-100.1911891915972,-92.48772253804984,-87.03214303867479,-85.7822549873625,-86.73993167185535,-92.2609235499241,-99.64094534101196,-92.3830849025081,-87.73161498946344,-85.55861842085845,-86.14671319103536,-91.54733701494814,-97.39953846841964,-91.4898809339673,-83.60553519739517,-83.09247887158895,-84.74896350750981,-91.29061172037764,-98.5491788964494,-90.8627677559317,-84.58178563835452,-83.9362405241612,-85.11007961575109,-90.66681363583228,-99.22450598265844,-90.9690032096158,-86.0213090895982,-84.4010807236724,-85.29902933523054,-91.14617460635912,-98.97265559351376,-91.33108438609015,-90.43907684439868,-88.37318074456084,-88.95637263665826,-93.6780160503466,-97.9797471170832,-93.42690702448854,-85.83266816692905,-84.83891792171339,-86.033287117452,-91.7304745394768,-98.86974362847369,-91.66663677049245
27-experience4,-83.21087625950929,-82.53932977182347,-84.0521401439893,-90.89541567903233,-98.59320403147412,-90.53147268096528,-84.75094318107615,-83.62385488567239,-84.48765121956097,-90.86089825938356,-99.90246318334218,-91.14926494118907,-85.39141796332748,-83.55585013147666,-84.20371902677186,-90.72936159824592,-99.97647317214472,-91.13742972440446,-84.641241109661,-82.45074709051153,-82.96707723044511,-89.10095540840318,-96.33435847336682,-89.1849260951849,-83.73122239605905,-83.09345519324172,-84.6276752469457,-91.2560969013133,-98.81176013846934,-90.91341892383296,-85.30652580987442,-84.51510882179494,-85.54551541915492,-91.63905182363452,-100.31471728121528,-91.85296764602178,-85.93342321106547,-84.23069304443075,-84.92510633928887,-91.3900906934188,-100.41927550433572,-91.73928194760092,-86.74560405827147,-83.97301082210316,-84.36460017141283,-91.2237302914876,-100.02121567713333,-91.56430405563152,-82.55612194413911,-81.9203957000031,-83.44654595659517,-90.5442816233446,-98.6095669133762,-90.18962481892288,-83.74268209980927,-82.6040436014995,-83.44122989053497,-89.69555447765208,-99.11158139443891,-90.11969042273752,-84.86970172380234,-82.46345468230203,-83.07374033573262,-90.10122746263332,-99.79846266727137,-90.53585769918654,-89.81666148337844,-87.2418554367561,-87.66864100097187,-94.0237684104473,-101.49510167213715,-94.15718699484624,-84.86906952471249,-83.54621788214729,-84.51105318902215,-91.03105384741669,-99.57783467530648,-91.15106695975231
28-baseline1,-84.77646708811436,-85.13909096627269,-86.23428127204704,-89.5518709323849,-94.119090698465,-89.44309852683287,-85.20021970924054,-85.19919015340737,-85.73187249399061,-89.44971782987827,-94.98771517776598,-89.61243005355057,-85.27500841839364,-84.71828600558439,-85.16051226268308,-89.3771062663955,-95.10644940634508,-89.51169084013034,-85.80408383025032,-84.67959886001546,-84.97621452251406,-88.70296561161246,-92.92572445672002,-88.69375536068358,-84.64140900809458,-85.07623679867905,-86.2803481752397,-89.70931988857929,-94.66114653233684,-89.63427998114622,-85.27701387402024,-85.26531136710025,-85.91969759338801,-89.73679252977635,-95.57396745637202,-89.92125078594322,-85.52941448161832,-84.95804172675665,-85.4511132394056,-89.4002195708027,-94.24815640853856,-89.38599485377392,-86.99838534564631,-86.35860871052469,-86.80112915188288,-89.09009339911661,-91.25646501709709,-88.92047060468215,-83.47807595677625,-84.00991213135703,-85.46912288541763,-88.98205400852602,-93.94871071261232,-88.82481307934488,-83.69305597209637,-83.59927805526455,-84.18623233422832,-88.52539327411841,-94.79509409060084,-88.68305713216243,-84.91514074911703,-84.43642001770769,-85.1136751603897,-89.51947258000348,-94.70837737185606,-89.40738059668702,-89.86415495615493,-88.83318604932904,-88.77282677428697,-88.86033412165791,-89.12351716830622,-89.01504642479972,-85.24231457194418,-85.0807357940684,-85.77440543376903,-89.38469973077707,-94.34356579833585,-89.41875190841179
